date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:24	5558/5558	---M--	404	error ('Not%20Found')	text/html	etag:%22a7498bc6853817a0138e1bcd8c3869b0%22	http://hemingwayapp.com/robots.txt		(from )
11:23:24	5558/5558	---M--	200	added ('OK')	text/html	etag:%22a7498bc6853817a0138e1bcd8c3869b0%22	http://hemingwayapp.com/	h/h/hemingwayapp.com/index.html	(from )
11:23:24	1507/1507	---M--	200	added ('OK')	image/png	etag:%2223586f0e9f79274084f86f54e0a930ea%22	http://hemingwayapp.com/img/favicon/apple-touch-icon-57x57.png	h/h/hemingwayapp.com/img/favicon/apple-touch-icon-57x57.png	(from http://hemingwayapp.com/)
11:23:24	4930/4930	---M--	200	added ('OK')	image/png	etag:%223e728af854649b497a508ada12978c3d%22	http://hemingwayapp.com/img/favicon/apple-touch-icon-114x114.png	h/h/hemingwayapp.com/img/favicon/apple-touch-icon-114x114.png	(from http://hemingwayapp.com/)
11:23:25	1904/1904	---M--	200	added ('OK')	image/png	etag:%22a4acbad11ebbae175a206bea96678225%22	http://hemingwayapp.com/img/favicon/apple-touch-icon-72x72.png	h/h/hemingwayapp.com/img/favicon/apple-touch-icon-72x72.png	(from http://hemingwayapp.com/)
11:23:25	7254/7254	---M--	200	added ('OK')	image/png	etag:%22e8aad48f43b8b6c73756b9811e90ae28%22	http://hemingwayapp.com/img/favicon/apple-touch-icon-144x144.png	h/h/hemingwayapp.com/img/favicon/apple-touch-icon-144x144.png	(from http://hemingwayapp.com/)
11:23:25	1435/1435	---M--	200	added ('OK')	image/png	etag:%223f4975c11528952f8b79325eeb4a2240%22	http://hemingwayapp.com/img/favicon/apple-touch-icon-60x60.png	h/h/hemingwayapp.com/img/favicon/apple-touch-icon-60x60.png	(from http://hemingwayapp.com/)
11:23:25	5148/5148	---M--	200	added ('OK')	image/png	etag:%2216b4df47d9e454fe07515b7e8bfa0d8b%22	http://hemingwayapp.com/img/favicon/apple-touch-icon-120x120.png	h/h/hemingwayapp.com/img/favicon/apple-touch-icon-120x120.png	(from http://hemingwayapp.com/)
11:23:26	2282/2282	---M--	200	added ('OK')	image/png	etag:%22bc62fcdac40e626b7595dcb520e6874c%22	http://hemingwayapp.com/img/favicon/apple-touch-icon-76x76.png	h/h/hemingwayapp.com/img/favicon/apple-touch-icon-76x76.png	(from http://hemingwayapp.com/)
11:23:26	8359/8359	---M--	200	added ('OK')	image/png	etag:%22b0c1454862a1cc2b73ea4fbca75b9c0b%22	http://hemingwayapp.com/img/favicon/apple-touch-icon-152x152.png	h/h/hemingwayapp.com/img/favicon/apple-touch-icon-152x152.png	(from http://hemingwayapp.com/)
11:23:29	12583/12583	---M--	200	added ('OK')	image/png	etag:%229df6a53ab722ea7794dd7e92af891c47%22	http://hemingwayapp.com/img/favicon/favicon-196x196.png	h/h/hemingwayapp.com/img/favicon/favicon-196x196.png	(from http://hemingwayapp.com/)
11:23:29	2716/2716	---M--	200	added ('OK')	image/png	etag:%222325c30d79c48df3ef550162a77b7eb9%22	http://hemingwayapp.com/img/favicon/favicon-96x96.png	h/h/hemingwayapp.com/img/favicon/favicon-96x96.png	(from http://hemingwayapp.com/)
11:23:29	450/450	---M--	200	added ('OK')	image/png	etag:%22aa583f91f36ca96101a0d9508218e059%22	http://hemingwayapp.com/img/favicon/favicon-32x32.png	h/h/hemingwayapp.com/img/favicon/favicon-32x32.png	(from http://hemingwayapp.com/)
11:23:29	271/271	---M--	200	added ('OK')	image/png	etag:%22be66ee6b754e950253e1b7f8aff324b9%22	http://hemingwayapp.com/img/favicon/favicon-16x16.png	h/h/hemingwayapp.com/img/favicon/favicon-16x16.png	(from http://hemingwayapp.com/)
